category,question,tips
自我介紹,請用 1-2 分鐘介紹你自己,聚焦在與目標職位相關的學經歷和技能。架構建議：現在（目前狀態）→ 過去（相關經驗）→ 未來（為何想加入）。避免流水帳式的自傳。
自我介紹,你的優點和缺點是什麼？,優點：選擇與職位需求匹配的特質，用具體事例佐證。缺點：選擇真實但可改善的點，並說明你正在採取的改善行動。
自我介紹,你為什麼選擇這個科系/領域？,分享你對這個領域的熱情與初衷，連結到具體的學習成果或專案經驗，展現你的選擇是經過思考的。
行為面試,請描述一次你遇到挫折並解決的經驗,使用 STAR 原則：情境（Situation）→ 任務（Task）→ 行動（Action）→ 結果（Result）。著重在你的思考過程和解決問題的邏輯。
行為面試,描述一次你在團隊中與他人意見不合的經驗,展現你的溝通和協調能力。強調你如何傾聽不同觀點、尋找共識，以及最終如何達成團隊目標。避免將自己塑造成「永遠正確」的人。
行為面試,你如何處理同時有多個截止日期的壓力？,分享你的時間管理方法（優先排序、分解任務、善用工具）。用具體案例說明你如何在壓力下保持效率與品質。
行為面試,請分享一個你主動學習新技能的經歷,展現自我驅動的學習能力。描述學習的動機、過程中遇到的困難、以及最終如何應用所學。這對應屆畢業生特別重要。
情境題,如果主管給你一個你從未接觸過的任務，你會怎麼做？,展現學習意願和主動性。建議回答架構：先做初步研究 → 擬定計畫 → 主動請教有經驗的同事 → 定期回報進度給主管。
情境題,如果你發現同事的工作出了錯，你會怎麼處理？,展現你的協作精神和溝通能力。私下善意提醒，而非公開指出。重點在於解決問題而非追究責任。
情境題,如果你和團隊成員在專案方向上有根本性的分歧？,先理解對方立場，用數據和事實支持自己的觀點。若無法達成共識，建議各自做小規模驗證（Prototype），或請更有經驗的人協助判斷。
情境題,面試官問「你有什麼問題想問我們的嗎？」你會問什麼？,準備 2-3 個有深度的問題。例如：團隊的工作模式、新人的培訓計畫、這個職位未來半年的目標。避免問可以在官網找到答案的問題。
行為面試,過去半年內最有成就的一件事？,使用 STAR 原則描述。選擇能展現與應徵職位相關能力的成就。
求職動機,對所應徵的職務有什麼吸引你的地方？,結合自身專長與公司發展，具體點出該職務能讓你發揮或學習的地方，避免只談薪水或福利。
自我認知,你希望自己擁有哪三項技能或特質？,可以提出與職位相關，且你目前正在努力培養的技能，展現上進心與自我成長的企圖心。
文化契合度,你喜歡什麼樣的工作方式？,誠實作答，但建議往團隊合作、目標導向等正面特質靠攏，並確保與應徵公司的企業文化不衝突。
情境題,如果工作過多，且其中有主管交辦事項，無法在下班前準時完成，你會怎麼做？,展現時間管理與溝通能力。先排定優先順序，主動向主管回報進度與預計完成時間，必要時尋求協助或協調資源。
情境題,和不同個性(工作風格)的人合作，你會怎麼樣讓工作順利進行？,強調尊重差異、主動溝通、建立共識。可以舉過去的例子，說明你如何調整溝通方式以達成團隊目標。
行為面試,遇到最有挑戰性(最棘手)的工作情況是什麼，以及你如何克服？,著重在「克服」的過程。遇到困難時你的思考邏輯是什麼？你採取了哪些行動？最後學到了什麼？
職涯規劃,你對所應徵的職務有什麼樣的展望？,展現你對該職務的了解與企圖心。可以談談你希望在短期內達成什麼目標，以及長期希望能為公司帶來什麼價值。
職涯規劃,你對自己未來3~5年後的想像/期許是什麼？,讓面試官看到你的穩定性與成長潛力。目標應具體、合理，且與應徵公司的發展路徑有一定的關聯性。
求職動機,在過去的工作經歷中，您最感興趣的工作是哪一項？原因是？,選擇能與目前應徵職位產生連結的工作經驗，說明該工作如何激發你的熱情，以及你從中獲得的成就感。
求職動機,最不喜歡的工作是？原因是？,誠實但委婉。可以說「較缺乏挑戰性」或「較少團隊互動」等，並將話題導向你「希望」在下一份工作獲得的東西（剛好是該職位能提供的）。
自我認知,在工作方面，你認為哪些技巧可以再加強，使得工作更加得心應手？,類似缺點題，提出一個真實且正在改善的技巧，例如「某項新軟體的操作」或「跨部門溝通的效率」，並說明你的改善計畫。
情境題,如果你接掌這項職務，你會如何自我工作要求？,展現當責態度。設定明確的目標（例如：前三個月熟悉流程、半年內獨立作業），並強調你會主動回報進度與尋求回饋。
情境題,如果你無法在試用期內勝任本職務時，您的做法為何？,展現解決問題的決心與對自身能力的客觀評估。會主動與主管討論落差所在、擬定改善計畫並積極執行，若最後仍不適合，也會負責任地完成交接。