id,type,category,question,options,answer,explanation
Q042,TF,心態建設,如果面試官在面試過程中表現出質疑的態度，代表你已經被淘汰了。,O / X,X,這可能是壓力測試，觀察你在面對挫折和質疑時的情緒控管與應變能力。
Q001,TF,基礎職場邏輯,面試結束前，人資問「你還有什麼問題嗎？」，最好的回答是「沒有問題」。,O / X,X,提問是展現積極度與了解公司文化的大好機會。可以詢問團隊合作方式、未來發展方向等，展示你對公司的興趣。
Q004,TF,基礎職場邏輯,面試遲到 5 分鐘以內其實沒有關係，面試官不會在意。,O / X,X,守時是基本的職場禮儀。建議提前 10-15 分鐘到達面試地點，遲到會給面試官留下不良的第一印象。
Q007,MCQ,基礎職場邏輯,面試時的穿著打扮，以下哪個原則最為恰當？,A. 穿最貴的衣服展現品味 / B. 依據該公司的文化與職位，選擇合宜的穿著 / C. 穿便服展現真實的自我 / D. 只要乾淨就好，穿什麼不重要,B,穿著應配合公司文化。科技新創可偏 Smart Casual，傳統企業則建議正式商務裝扮。事先研究公司風格是加分關鍵。
Q010,TF,基礎職場邏輯,面試結束後寄一封感謝信給面試官，是加分的好習慣。,O / X,O,感謝信不只是禮貌，更是再次強調你對職位的興趣與適任度的機會。在面試後 24 小時內寄出效果最佳。
Q012,TF,基礎職場邏輯,薪資談判只能在拿到 Offer 之後才進行，面試中不應主動提及。,O / X,X,雖然一般建議等面試官主動提起薪資話題，但如果面試官詢問期望薪資，你應該要有準備。事前研究市場行情很重要。
Q015,MCQ,基礎職場邏輯,收到面試通知後，以下哪項準備最重要？,A. 背誦完美的自我介紹稿 / B. 研究該公司的背景、產品與文化 / C. 買一套新衣服 / D. 準備一份禮物送面試官,B,深入了解公司能幫助你在面試中提出有深度的問題，並將自身經驗與公司需求連結，展現你是最適合的人選。
Q018,TF,基礎職場邏輯,面試時與面試官有不同意見，應該完全順從面試官的觀點，不要表達自己的看法。,O / X,X,適當表達不同觀點反而能展現獨立思考能力。重點在於表達方式要尊重、有邏輯，例如「我理解您的觀點，同時我也想到...」。
Q021,MCQ,基礎職場邏輯,面試中被問到「你期望的薪資是多少？」時，最佳策略是？,A. 說越高越好，反正可以談 / B. 說「都可以，公司決定就好」 / C. 根據市場調查給出合理範圍，並表達彈性 / D. 拒絕回答這個問題,C,事先做好市場薪資調查，給出合理的薪資範圍，並表示願意根據整體福利方案做調整，展現專業與靈活度。
Q023,MCQ,基礎職場邏輯,以下關於「自我介紹」的說法，哪個最正確？,A. 應該背稿照唸，確保不遺漏任何內容 / B. 控制在 1-2 分鐘，重點突出與職位相關的經歷 / C. 從小學開始介紹，越詳細越好 / D. 只說名字和學校就好,B,自我介紹應簡潔有力，聚焦在與應徵職位最相關的學經歷與技能，讓面試官快速了解你的核心價值。
Q026,TF,基礎職場邏輯,面試前如果不清楚公司地址，可以在面試當天打電話詢問人資。,O / X,X,應該提前確認好，當天打電話會顯得準備不足且可能打擾人資作業。
Q030,TF,基礎職場邏輯,面試時，為了展現自信，應該盡量坐滿整張椅子並往後靠。,O / X,X,坐滿約三分之二，背脊挺直微向前傾，能展現積極與專注的態度。
Q031,MCQ,基礎職場邏輯,收到面試邀請信後，多久內回覆最合適？,A. 一週內 / B. 24 小時內 / C. 面試前一天 / D. 不用回覆，直接去,B,24 小時內回覆展現積極度與基本禮儀，讓公司方便安排行程。
Q034,TF,基礎職場邏輯,面試時攜帶紙筆做筆記，會讓面試官覺得你記憶力不好。,O / X,X,做筆記展現認真與重視，但記筆記前最好先徵求同意。
Q037,MCQ,基礎職場邏輯,關於面試服裝，若公司沒有特別規定，以下哪種最安全？,A. 全套西裝/套裝 / B. T恤加牛仔褲 / C. Smart Casual (商務休閒) / D. 運動服,C,對大多數非金融/傳統產業，Smart Casual 既不失專業也不會過度拘謹。
Q038,TF,基礎職場邏輯,在線上面試（視訊）時，眼神應該直視螢幕上的面試官臉孔。,O / X,X,應該看著攝影鏡頭，這樣對方才會覺得你有在看著他。
Q045,MCQ,基礎職場邏輯,當被問到「你對我們公司了解多少？」時，最好的回答是：,A. 我知道你們很有名 / B. 具體說出公司的產品、服務或近期新聞 / C. 我其實不太了解，想聽您介紹 / D. 我知道你們的股票代號是...,B,具體說明證明你有做功課，能展現出對這份工作的熱忱。
Q049,MCQ,基礎職場邏輯,準備面試的「自我介紹」時，時間長度大約控制在多久最合適？,A. 30 秒以內 / B. 1 到 2 分鐘 / C. 5 分鐘 / D. 10 分鐘以上,B,1-2 分鐘能精華呈現背景與亮點，太短顯得準備不足，太長會讓面試官失去耐心。
Q050,TF,基礎職場邏輯,面試後寄送感謝信，內容只要寫「謝謝您的時間」就可以了。,O / X,X,感謝信應該包含對面試官時間的感謝、重申自己對職位的熱情，以及簡短提及面試中討論到的一個亮點。
Q029,MCQ,情境判斷,被問到「如果你的意見和主管不同，你會怎麼做？」最佳回答方向是：,A. 堅決捍衛自己的意見 / B. 表面同意，私下照自己的方式做 / C. 完全聽主管的 / D. 提出客觀理由討論，若主管維持原意則尊重決策,D,展現良好的溝通能力、獨立思考，同時具備對體制與最終決策的尊重。
Q047,MCQ,情境判斷,面試時談到期望薪資，如果對方開出的薪水低於你的底線，你應該？,A. 當場翻臉走人 / B. 委屈接受 / C. 詢問是否有其他福利或獎金結構，並保留談判空間 / D. 說「再聯絡」,C,保持專業，了解整體薪酬結構後再做決定，並尋找可以為自己爭取空間的機會。
Q003,MCQ,溝通應對,面試官問「你的缺點是什麼？」時，以下哪種回答策略最佳？,A. 說自己沒有缺點 / B. 說一個真實但已在改善中的缺點 / C. 把優點包裝成缺點（例如：我太認真） / D. 轉移話題避免回答,B,誠實面對自身不足並展示改善的行動力，反而能讓面試官感受到你的自我覺察與成長心態。避免假缺點，面試官一眼就看穿。
Q005,MCQ,溝通應對,使用 STAR 原則回答行為面試題時，S 代表什麼？,A. Solution（解決方案） / B. Situation（情境） / C. Strategy（策略） / D. Strength（優勢）,B,STAR 原則：Situation（情境）→ Task（任務）→ Action（行動）→ Result（結果）。先描述背景情境，再逐步展開你的行動與成果。
Q008,TF,溝通應對,面試時如果不知道答案，直接承認「我不確定」比硬掰一個答案更好。,O / X,O,誠實承認不足並表達學習意願，比硬掰更能建立信任。可以補充「我對這方面還在學習，但我會...」來展現積極態度。
Q011,MCQ,溝通應對,面試官問「為什麼離開上一份工作？」時，最不建議的回答是？,A. 尋求更大的成長空間 / B. 因為主管很討厭，同事也很難相處 / C. 希望挑戰不同的產業領域 / D. 想要更符合個人職涯規劃的機會,B,負面批評前公司或同事會讓面試官對你的專業度和人際能力產生疑慮。應著重在正面的職涯動機上。
Q014,TF,溝通應對,團體面試中，表現最積極、搶先發言最多次的人，通常最受面試官青睞。,O / X,X,團體面試中，面試官更看重的是協作能力與傾聽技巧。適時發言、整合他人意見、展現團隊精神更為重要。
Q017,MCQ,溝通應對,視訊面試時，以下哪項最容易被忽略但非常重要？,A. 使用最新款手機 / B. 確保背景整潔、光線充足且網路穩定 / C. 戴上耳機聽音樂放鬆 / D. 同時開多個視窗查資料,B,視訊面試的環境直接影響專業形象。確保光線從正面照射、背景乾淨、網路穩定、麥克風收音清晰，都是基本要求。
Q020,TF,溝通應對,面試時可以適當使用肢體語言，如保持眼神接觸和微笑，來增強溝通效果。,O / X,O,非語言溝通佔溝通效果的很大比例。適當的眼神接觸、微笑、點頭，都能傳達自信與友善，建立良好的面試互動氛圍。
Q022,TF,溝通應對,在面試中提到自己曾經失敗的經驗，一定會扣分。,O / X,X,分享失敗經驗並展示從中學到的教訓，反而能展現韌性和成長心態。關鍵是要著重在你如何處理困境及從中成長。
Q025,MCQ,溝通應對,面試官問「你為什麼想來我們公司？」最好的回答應該包含？,A. 因為離家近、薪水高 / B. 對公司的具體了解，加上自身能力如何貢獻 / C. 因為朋友推薦的 / D. 隨便投的，沒有特別原因,B,展現你對公司做過功課，並將自身技能與公司需求連結。例如「我對貴公司在 XX 領域的發展很有興趣，我的 YY 經驗能夠...」
Q027,MCQ,溝通應對,如果面試官問的問題你聽不懂，你應該：,A. 隨便猜一個意思回答 / B. 沉默思考直到想出來 / C. 禮貌地請面試官換個方式說明或釐清問題 / D. 直接說不知道,C,主動釐清問題是良好的溝通技巧，確保回答在正確的方向上。
Q032,TF,溝通應對,如果被問到不會的專業問題，可以回答「雖然我現在不會，但我學習能力很強，進公司後會學」。,O / X,X,只有這句話太薄弱，應補充「我會如何去學」或「我過去快速學習的經驗」，並與具體行動連結。
Q033,MCQ,溝通應對,離職原因如果是因為前主管會情緒勒索，面試時應該怎麼說？,A. 直接抱怨前主管的行為 / B. 說前公司文化不適合 / C. 說為了尋求更好的發展和學習機會 / D. 說自己被資遣了,C,將焦點放在未來的發展，避免傳遞負能量或批評前東家。
Q035,MCQ,溝通應對,面試官問「你有沒有投遞其他公司？」時，目的是什麼？,A. 刺探你的忠誠度 / B. 評估你在求職市場的搶手程度與錄取機率 / C. 想要挖角其他公司的人 / D. 只是隨口問問,B,誠實回答有，並說明尋找的職缺方向是一致的，能增加自身價值與談判籌碼。
Q036,TF,溝通應對,團體面試時，如果不贊同別人的觀點，應該立刻打斷並指正他。,O / X,X,應等對方說完，再以「我理解您的看法，不過我的觀點是...」來表達，展現團隊合作精神。
Q039,MCQ,溝通應對,當面試官介紹公司福利和制度時，你應該？,A. 趁機休息一下 / B. 保持專注並適時點頭給予回應 / C. 打斷並詢問更詳細的薪水數字 / D. 表現得不感興趣,B,保持專注並給予回應，展現你對公司的重視與傾聽能力。
Q041,MCQ,溝通應對,面試結束前，哪種「反問問題」最不適合？,A. 這個職位未來半年的主要目標是什麼？ / B. 團隊目前的運作模式為何？ / C. 請問公司會不會常常加班？ / D. 這個職位最大的挑戰是什麼？,C,直接問加班可能顯得抗壓性低，可改問「團隊的日常工作節奏與上下班時間為何」。
Q044,TF,溝通應對,面試中如果不小心說錯話，應該假裝沒事繼續說下去。,O / X,X,可以自然地更正：「不好意思，我剛剛的表達不夠準確，我的意思是...」，展現危機處理能力。
Q046,TF,溝通應對,為了拿到 Offer，面試時對所有問題都應該回答「沒問題」，即使自己做不到。,O / X,X,過度承諾會導致入職後無法達標，誠實評估自身能力並表達願意學習的態度才是長遠之計。
Q048,TF,溝通應對,在介紹自己的專案作品時，只講自己成功的地方，完全不要提到遇到的困難。,O / X,X,描述如何克服困難的過程，往往比單純展示成功結果更能體現你的解決問題能力。
Q002,TF,履歷常識,履歷越長越好，應該把所有經歷都寫上去，展現豐富的背景。,O / X,X,履歷應精簡、聚焦。針對應徵職位客製化內容，一般建議控制在 1-2 頁。與職位無關的經驗反而會分散焦點。
Q006,TF,履歷常識,在履歷中使用量化數據（如提升效率 30%）會比純文字描述更有說服力。,O / X,O,量化成果能讓面試官快速理解你的貢獻規模。例如「管理 5 人團隊，提升專案效率 30%」比「有效管理團隊」更具說服力。
Q009,MCQ,履歷常識,寄出求職信（Cover Letter）時，以下哪項最重要？,A. 用華麗的文字包裝自己 / B. 針對每間公司客製化內容 / C. 越長越好，展現誠意 / D. 直接複製履歷內容,B,客製化的求職信能展現你對該職位的熱忱與研究。強調你的能力如何匹配該公司的需求，而非泛用同一封信投遞所有公司。
Q013,MCQ,履歷常識,以下哪項不建議放在履歷上？,A. LinkedIn 個人頁面連結 / B. 與職位相關的證照 / C. 身分證字號 / D. 作品集連結,C,身分證字號屬於個人敏感資訊，不應出現在履歷中。履歷應聚焦在專業能力、經歷和聯絡方式。
Q016,TF,履歷常識,履歷上的照片一定要用正式的證件照，不能使用生活照。,O / X,X,視產業而定。創意產業可用專業但有個性的照片，傳統產業建議正式照。重點是看起來專業、乾淨、有精神。某些國家的履歷甚至不需要放照片。
Q019,MCQ,履歷常識,履歷中的「工作經歷」應該怎麼排序？,A. 按照時間順序，從最早的開始 / B. 按照時間倒序，從最近的開始 / C. 按照重要性排序 / D. 隨機排列皆可,B,倒序排列（最近的在前）是最常見也最受歡迎的格式，因為面試官最關心你最近的經驗和當前的能力水平。
Q024,TF,履歷常識,履歷上的自傳（個人簡介）可以直接使用 AI 生成的內容，不需要修改。,O / X,X,AI 可以作為撰寫輔助，但內容必須經過個人化調整，確保真實反映你的經歷與個性。面試時可能會被追問細節。
Q028,TF,履歷常識,在履歷表上，技能的熟練度應該盡量寫「精通」，即使只是稍微接觸過，這樣比較容易獲得面試機會。,O / X,X,誠實為上，過度誇大會在面試或試用期被看穿，反而損害信用。
Q040,TF,履歷常識,求職信 (Cover Letter) 的內容可以直接重複履歷表上的資訊。,O / X,X,Cover Letter 應該是履歷的補充，用來說明「為什麼你是這個職位的最佳人選」，而非純粹條列經歷。
Q043,MCQ,履歷常識,履歷表上的「興趣」欄位應該怎麼填？,A. 隨便寫看電影、聽音樂 / B. 寫越冷門越好 / C. 填寫能展現正面特質或與職務相關的興趣 / D. 不用填，浪費版面,C,例如應徵行銷可以寫經營個人部落格，能成為面試時的破冰話題與加分項目。